id,date,row,variable,measure
10031216,20160204,43,emotional_feel,4
10027216,20160204,44,emotional_feel,5
10021216,20160204,45,emotional_feel,3
13251920,20160204,46,emotional_feel,3
10022216,20160204,47,emotional_feel,2
10020216,20160204,48,emotional_feel,3
10009216,20160204,49,emotional_feel,4
NA,20160204,50,emotional_feel,3
10015216,20160204,51,emotional_feel,3
10029216,20160204,52,emotional_feel,4
10010216,20160204,53,emotional_feel,3
10028216,20160204,54,emotional_feel,5
10018216,20160204,55,emotional_feel,4
10025216,20160204,56,emotional_feel,3
10005216,20160211,57,emotional_feel,4
10002216,20160211,58,emotional_feel,3
13251925,20160211,59,emotional_feel,3
10034216,20160211,60,emotional_feel,3
10008216,20160211,61,emotional_feel,3
10010216,20160211,62,emotional_feel,4
10021216,20160211,63,emotional_feel,3
10027216,20160211,64,emotional_feel,3
NA,20160211,65,emotional_feel,4
10009216,20160211,66,emotional_feel,4
10018216,20160211,67,emotional_feel,4
10017216,20160211,68,emotional_feel,4
10028216,20160211,69,emotional_feel,5
10007215,20160211,70,emotional_feel,4
10004216,20160211,71,emotional_feel,4
10013216,20160211,72,emotional_feel,4
10015216,20160211,73,emotional_feel,3
10020216,20160211,74,emotional_feel,5
10011216,20160211,75,emotional_feel,4
10018216,20160211,76,emotional_feel,3
10025216,20160211,77,emotional_feel,5
10023216,20160211,78,emotional_feel,2
10001036,20160211,79,emotional_feel,3
10029216,20160211,80,emotional_feel,2
10014216,20160211,81,emotional_feel,4
10005216,20160128,1,motivation,2
10033216,20160128,2,motivation,3
10004216,20160128,3,motivation,1
10008216,20160128,4,motivation,1
10026216,20160128,5,motivation,3
10014216,20160128,6,motivation,2
10021216,20160128,7,motivation,2
10013216,20160128,8,motivation,2
10035216,20160128,9,motivation,2
10015216,20160128,10,motivation,2
10031216,20160128,11,motivation,1
10007216,20160128,12,motivation,2
10010216,20160128,13,motivation,2
10020216,20160128,14,motivation,2
10002216,20160128,15,motivation,1
10011216,20160128,16,motivation,2
10023216,20160128,17,motivation,1
10028216,20160128,18,motivation,1
10034216,20160128,19,motivation,3
10003216,20160128,20,motivation,2
10029216,20160128,21,motivation,2
10022216,20160128,22,motivation,1
10006216,20160128,23,motivation,1
10009216,20160128,24,motivation,1
10018216,20160128,25,motivation,1
10027216,20160128,26,motivation,1
10025216,20160128,27,motivation,2
10019216,20160128,28,motivation,1
10032216,20160128,29,motivation,3
10017216,20160128,30,motivation,3
NA,20160204,31,motivation,3
10034216,20160204,32,motivation,2
10004216,20160204,33,motivation,2
10035216,20160204,34,motivation,3
10018216,20160204,35,motivation,2
10002216,20160204,36,motivation,1
10008216,20160204,37,motivation,2
10011216,20160204,38,motivation,2
10006216,20160204,39,motivation,1
10005216,20160204,40,motivation,2
10023216,20160204,41,motivation,1
10007216,20160204,42,motivation,1
10031216,20160204,43,motivation,1
10027216,20160204,44,motivation,1
10021216,20160204,45,motivation,2
13251920,20160204,46,motivation,2
10022216,20160204,47,motivation,3
10020216,20160204,48,motivation,3
10009216,20160204,49,motivation,1
NA,20160204,50,motivation,3
10015216,20160204,51,motivation,2
10029216,20160204,52,motivation,2
10010216,20160204,53,motivation,2
10028216,20160204,54,motivation,1
10018216,20160204,55,motivation,2
10025216,20160204,56,motivation,2
10005216,20160211,57,motivation,1
10002216,20160211,58,motivation,2
13251925,20160211,59,motivation,2
10034216,20160211,60,motivation,1
10008216,20160211,61,motivation,3
10010216,20160211,62,motivation,1
10021216,20160211,63,motivation,2
10027216,20160211,64,motivation,1
NA,20160211,65,motivation,1
10009216,20160211,66,motivation,1
10018216,20160211,67,motivation,2
10017216,20160211,68,motivation,3
10028216,20160211,69,motivation,1
10007215,20160211,70,motivation,3
10004216,20160211,71,motivation,1
10013216,20160211,72,motivation,2
10015216,20160211,73,motivation,2
10020216,20160211,74,motivation,1
10011216,20160211,75,motivation,1
10018216,20160211,76,motivation,3
10025216,20160211,77,motivation,1
10023216,20160211,78,motivation,2
10001036,20160211,79,motivation,3
10029216,20160211,80,motivation,3
10014216,20160211,81,motivation,1
10005216,20160128,1,quiz_percentage_correct,1
10033216,20160128,2,quiz_percentage_correct,0.2
10004216,20160128,3,quiz_percentage_correct,1
10008216,20160128,4,quiz_percentage_correct,1
10026216,20160128,5,quiz_percentage_correct,0.8
10014216,20160128,6,quiz_percentage_correct,1
10021216,20160128,7,quiz_percentage_correct,1
10013216,20160128,8,quiz_percentage_correct,1
10035216,20160128,9,quiz_percentage_correct,0.8
10015216,20160128,10,quiz_percentage_correct,0.9
10031216,20160128,11,quiz_percentage_correct,0.9
10007216,20160128,12,quiz_percentage_correct,1
10010216,20160128,13,quiz_percentage_correct,0.9
10020216,20160128,14,quiz_percentage_correct,0.9
10002216,20160128,15,quiz_percentage_correct,0.8
10011216,20160128,16,quiz_percentage_correct,1
10023216,20160128,17,quiz_percentage_correct,0.8
10028216,20160128,18,quiz_percentage_correct,0.6
10034216,20160128,19,quiz_percentage_correct,0.6
10003216,20160128,20,quiz_percentage_correct,0.9
10029216,20160128,21,quiz_percentage_correct,0.9
10022216,20160128,22,quiz_percentage_correct,0.8
10006216,20160128,23,quiz_percentage_correct,0.6
10009216,20160128,24,quiz_percentage_correct,0.7
10018216,20160128,25,quiz_percentage_correct,1
10027216,20160128,26,quiz_percentage_correct,0.7
10025216,20160128,27,quiz_percentage_correct,0.7
10019216,20160128,28,quiz_percentage_correct,1
10032216,20160128,29,quiz_percentage_correct,0.9
10017216,20160128,30,quiz_percentage_correct,0.8
NA,20160204,31,quiz_percentage_correct,0.25
10034216,20160204,32,quiz_percentage_correct,1
10004216,20160204,33,quiz_percentage_correct,0.75
10035216,20160204,34,quiz_percentage_correct,1
10018216,20160204,35,quiz_percentage_correct,0.25
10002216,20160204,36,quiz_percentage_correct,0.75
10008216,20160204,37,quiz_percentage_correct,1
10011216,20160204,38,quiz_percentage_correct,0.25
10006216,20160204,39,quiz_percentage_correct,0.75
10005216,20160204,40,quiz_percentage_correct,1
10023216,20160204,41,quiz_percentage_correct,0.75
10007216,20160204,42,quiz_percentage_correct,0.75
10031216,20160204,43,quiz_percentage_correct,0.75
10027216,20160204,44,quiz_percentage_correct,0.75
10021216,20160204,45,quiz_percentage_correct,1
